split,metric,n_boxes,mean,std,min,q05,q25,median,q75,q95,max
train,width_px,12402,51.51721752307584,33.894766093677376,1.97719817640791,15.569197256405758,28.065205661047074,43.785801579375615,65.54249076786527,112.36167016128684,385.9550561797754
train,height_px,12402,233.07995431041223,116.19950203051367,7.0,24.44508115181054,113.82973528088259,319.3993558776167,319.39935587761676,319.3993558776168,319.3993558776168
train,area_px2,12402,13138.584390562459,12178.622973989328,79.783556147224,700.5141753520065,3704.1661120479903,10385.25094864551,19237.998987847594,35201.91770977948,123273.79634152965
train,height_width_ratio,12402,6.077638471350914,5.644971542549139,0.1164713664860476,0.719031330905653,2.457541483253511,4.644225680282908,7.6931028391620515,17.226173910689457,161.5413971592306
val,width_px,2989,71.09830994326354,40.59833720448867,11.297798254394536,25.453411766747237,42.72536102017159,62.248559676091034,89.18886558166571,143.12692838450073,377.81954887218046
val,height_px,2989,253.48805570484348,107.6224317451777,10.069288010596097,28.31177667507488,187.4127168184558,319.39935587761676,319.39935587761676,319.3993558776168,362.78195488721803
val,area_px2,2989,19708.79775704329,15053.156533363392,150.3824005095429,995.7774633627133,8242.56402264823,18099.296833064924,27818.653576437588,45155.38844154979,127975.71937362204
val,height_width_ratio,2989,4.218953764607463,2.7887348152489997,0.2260472341871005,0.7015792633588018,2.4172831089142672,3.736054397095222,5.460268991670168,9.414169692424966,28.27093816738842
test,width_px,3184,66.99223757530294,46.76822869198454,10.003333333400036,20.28653263465221,35.42980608272969,54.494382022471996,82.04011853567253,160.92133837960273,355.0561797752808
test,height_px,3184,234.42117945575504,115.7924554565312,7.0,22.537229939924817,116.8571569943224,319.3993558776167,319.39935587761676,319.3993558776168,319.3993558776168
test,area_px2,3184,17606.11993717616,16590.25392803053,135.54334093486509,693.0457244074004,5083.543762777187,13996.151549693275,24510.976467712087,50165.959027478355,113404.71512059198
test,height_width_ratio,3184,4.436993816601921,3.4003871460300807,0.08091969292521109,0.668478697215928,1.9122881991415157,3.741621930161327,5.930011088150791,11.159176085445349,31.58504741456506
all,width_px,18575,57.320735643680536,38.41987193679019,1.97719817640791,16.918007830440065,30.906866666597807,48.45005208340007,72.19436834640496,126.48914724119803,385.9550561797754
all,height_px,18575,236.59383188407182,115.02540311099666,7.0,24.406337645999457,124.01975310664159,319.3993558776167,319.39935587761676,319.3993558776168,362.78195488721803
all,area_px2,18575,14961.626163527693,13772.789512426802,79.783556147224,735.0892381811577,4264.025795786236,12066.197888709967,21493.133921275155,39679.690507283936,127975.71937362204
all,height_width_ratio,18575,5.497319700466556,5.018804401353936,0.08091969292521109,0.7027349615535312,2.3490246997593105,4.283134331761677,6.927275164114981,15.048284793743612,161.5413971592306
