split,source_file,images,true_peaks,mean_peaks_per_image,seed_positive,seed_positive_fraction
train,0001_MAY_RoCI-StEM_CP-287,465,258,0.5548387096774193,161,0.34623655913978496
train,0021_MAY_ROCI-StEM_HN_575,502,217,0.43227091633466136,166,0.33067729083665337
train,060-0145-006_018,515,728,1.4135922330097088,488,0.9475728155339805
train,6545A_20230729_+_07_9,519,1084,2.0886319845857417,513,0.9884393063583815
train,6545_20201012_14_+_QC 01,512,703,1.373046875,495,0.966796875
train,AG-88-11_r2+,516,694,1.3449612403100775,496,0.9612403100775194
train,Blood-15V,523,1042,1.9923518164435947,459,0.8776290630975143
train,Blood-30V,520,845,1.625,388,0.7461538461538462
train,D04P_NEG,302,378,1.2516556291390728,245,0.8112582781456954
train,D06P_POS,517,992,1.918762088974855,460,0.8897485493230174
train,HepG2-30V,524,695,1.3263358778625953,388,0.7404580152671756
train,HetCD_mixneg,506,205,0.4051383399209486,138,0.2727272727272727
train,NIST_Full scan_2_NEG,511,525,1.0273972602739727,346,0.6771037181996086
train,Sphingolipid-BTSPT-Cell-pellet_1,533,328,0.6153846153846154,284,0.5328330206378987
train,Sphingolipid-BTSPT-OMV_1,535,434,0.811214953271028,322,0.6018691588785047
train,Sphingolipid-BTWT-Cell-pellet_1,542,479,0.8837638376383764,360,0.6642066420664207
train,Urine-15V,486,856,1.7613168724279835,420,0.8641975308641975
train,Urine-30V,509,752,1.4774066797642436,388,0.762278978388998
train,WTHFD_mixpos,488,264,0.5409836065573771,174,0.35655737704918034
train,frag1_pos20_1,1000,923,0.923,443,0.443
val,060-0145-005_017,504,231,0.4583333333333333,156,0.30952380952380953
val,20180323_S00033882_N,683,869,1.2723279648609078,625,0.9150805270863837
val,6545A_20230727_-_57_18,521,843,1.618042226487524,494,0.9481765834932822
val,6545_20201012_22_+_QC 03,515,726,1.4097087378640776,499,0.9689320388349515
val,D07P_NEG,284,320,1.1267605633802817,224,0.7887323943661971
test,20180321_S00033936_P,749,1051,1.4032042723631508,685,0.9145527369826435
test,AG-88-11_r12-,520,602,1.1576923076923078,489,0.9403846153846154
test,D03P_POS,514,1142,2.2217898832684826,495,0.9630350194552529
test,NIST_Full scan_1_POS,502,389,0.7749003984063745,219,0.4362549800796813
