split,sample_id,source_file,peak_count,peak_count_class,seed_label,reviewed,manually_changed,seed_label_changed,attribute_missing_count
train,0001_MAY_RoCI-StEM_CP-287__F10001,0001_MAY_RoCI-StEM_CP-287,1,single,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10052,0001_MAY_RoCI-StEM_CP-287,1,single,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10075,0001_MAY_RoCI-StEM_CP-287,1,single,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10083,0001_MAY_RoCI-StEM_CP-287,2,multi,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10103,0001_MAY_RoCI-StEM_CP-287,1,single,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10128,0001_MAY_RoCI-StEM_CP-287,1,single,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10130,0001_MAY_RoCI-StEM_CP-287,1,single,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10165,0001_MAY_RoCI-StEM_CP-287,1,single,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10188,0001_MAY_RoCI-StEM_CP-287,2,multi,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F102,0001_MAY_RoCI-StEM_CP-287,0,empty,0,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10201,0001_MAY_RoCI-StEM_CP-287,0,empty,0,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F1023,0001_MAY_RoCI-StEM_CP-287,0,empty,0,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10250,0001_MAY_RoCI-StEM_CP-287,1,single,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10261,0001_MAY_RoCI-StEM_CP-287,0,empty,0,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10273,0001_MAY_RoCI-StEM_CP-287,0,empty,0,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10279,0001_MAY_RoCI-StEM_CP-287,1,single,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10324,0001_MAY_RoCI-StEM_CP-287,1,single,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10347,0001_MAY_RoCI-StEM_CP-287,3,multi,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10376,0001_MAY_RoCI-StEM_CP-287,2,multi,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10388,0001_MAY_RoCI-StEM_CP-287,0,empty,0,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F1040,0001_MAY_RoCI-StEM_CP-287,0,empty,0,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10410,0001_MAY_RoCI-StEM_CP-287,2,multi,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10451,0001_MAY_RoCI-StEM_CP-287,0,empty,0,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F1054,0001_MAY_RoCI-StEM_CP-287,3,multi,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10541,0001_MAY_RoCI-StEM_CP-287,1,single,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10609,0001_MAY_RoCI-StEM_CP-287,2,multi,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10621,0001_MAY_RoCI-StEM_CP-287,1,single,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10670,0001_MAY_RoCI-StEM_CP-287,1,single,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F1069,0001_MAY_RoCI-StEM_CP-287,2,multi,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10705,0001_MAY_RoCI-StEM_CP-287,2,multi,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10766,0001_MAY_RoCI-StEM_CP-287,2,multi,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F1079,0001_MAY_RoCI-StEM_CP-287,1,single,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10808,0001_MAY_RoCI-StEM_CP-287,3,multi,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10819,0001_MAY_RoCI-StEM_CP-287,0,empty,0,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10826,0001_MAY_RoCI-StEM_CP-287,0,empty,0,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10840,0001_MAY_RoCI-StEM_CP-287,0,empty,0,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10855,0001_MAY_RoCI-StEM_CP-287,0,empty,0,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10856,0001_MAY_RoCI-StEM_CP-287,0,empty,0,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10888,0001_MAY_RoCI-StEM_CP-287,0,empty,0,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10933,0001_MAY_RoCI-StEM_CP-287,3,multi,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F10998,0001_MAY_RoCI-StEM_CP-287,0,empty,0,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F11008,0001_MAY_RoCI-StEM_CP-287,3,multi,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F11035,0001_MAY_RoCI-StEM_CP-287,0,empty,0,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F11073,0001_MAY_RoCI-StEM_CP-287,1,single,1,False,False,False,0
train,0001_MAY_RoCI-StEM_CP-287__F11093,0001_MAY_RoCI-StEM_CP-287,0,empty,0,False,False,False,0
