entity,batch,attribute,rows,finite_count,nan_count,inf_count,min,q1,median,mean,q3,max
seed,all,SNR,19817,19817,0,0,0.6277313541514452,1.954218879039716,2.501813888053736,2.6175141286560053,3.128518479104973,11.622937791916156
seed,all,CV,19817,19817,0,0,0.0074329847767728,0.8183938603756821,1.190521948187862,1.2762504174191778,1.635845286179076,5.656854249492381
seed,all,GS,19817,19817,0,0,-0.3810791492225596,0.4989274081968073,1.1166367910267934,1.2261717186916432,1.8090867902957293,7.254328619247669
seed,all,TPAS,19817,19817,0,0,-0.2970560591590963,0.1170466003276567,0.2795657123094273,0.29937358888031174,0.4675073754237626,1.3700200571066488
seed,all,H2B,19817,19813,4,0,0.0014030819577653,0.0778542249953162,0.1369441184698716,0.18376827530318565,0.2262021986343103,1.0
seed,all,ZZ,19817,19817,0,0,-3.782315453239013,-1.7453851248109935,-1.0823727588655243,-1.1653947586646365,-0.4575727315779772,0.4338157645474506
seed,all,DZZ,19817,19817,0,0,-1.8219719439607165,0.4055494999254034,0.6704262794124161,0.6340998554214724,0.876374139896016,12.1249387366083
seed,all,PCC,19817,19817,0,0,-2.1301024675807034,0.8343453423912864,1.6606176207059224,1.7667750708874268,2.505607291583972,5.009984776341963
seed,all,SKEW,19817,19817,0,0,-5.80219117761054,0.3458227487487633,1.1050607734247244,1.1917019619693778,1.9229552405856367,8.226661536352903
seed,all,DENT,19817,19817,0,0,-0.0,2.99148545861142,3.7803418578011967,3.8902928272289037,4.644748211178608,10.253407136741403
seed,all,DM,19817,19817,0,0,0.009254760910328,0.3230414066111064,0.5295919883984044,0.6658136687564483,0.8829469425784211,3.0
seed,all,ENT,19817,19817,0,0,0.1959092708736049,2.7841591278514217,3.584962500721156,3.5866783709358625,4.351446933268401,7.394890098654611
seed,all,JAG,19817,19817,0,0,0.0,0.5278969957081545,0.851063829787234,0.8232414572311044,1.1382978723404256,1.7333333333333334
seed,all,SYM,19817,19814,3,0,7.51620987671231e-14,0.46684796453837674,0.6586907611780228,0.6057780374598294,0.802060072549763,1.0
seed,all,MOD,19817,19814,3,0,0.0,0.000838890803767825,0.07041410098900719,0.2800284673498267,0.5006456780145765,1.0
seed,all,EDGE,19817,19814,3,0,0.0,0.0,0.05244548956703225,0.2301234992823011,0.44757861184892794,0.9999999999999982
