relative_path,bytes,sha256
checkpoint_sha256.csv,1795,57df86a424706030697c1184b6bbe1fd5ae109401b7188a7ebef4c4ea076d6a8
data/audits/annotation_conflicts.csv,880,1e80c9a87cfc4db2da1dd4806aa75db62edd4c7ad59d2663bb6b92e313843322
data/audits/attribute_qc.csv,15212,f3c264e235963ed8a8c2a35142787f10e4bc1f73d936a88112b71a21280f9f95
data/audits/distribution_by_difficulty_type.csv,435,b95a8360e6c6a8cd00fc408fbefb1b53c7e29c5c16699bc3aebcb9ec70d99aab
data/audits/distribution_by_domain_id.csv,615,1f1d134361e9429b89584f5872fbe21760ad1c9b438693b5b2b677a382d5d2a3
data/audits/distribution_by_has_human_box.csv,199,2f62a4ae89997261e8199f33fd2a58ea2f577771e1b7f9d0dbf08ac17c6f15c9
data/audits/distribution_by_old_new_batch.csv,258,27df9ed3df512e0246f0db2c8738a9ec55e6bfa5781f4a69ecb1297e968b3a4a
data/audits/distribution_by_seed_label.csv,188,a3dbb2b0dfdea6b27274ec6fb9bb652173a87e245ab229ee3bae697a26569ed4
data/audits/distribution_by_source_file.csv,1645,ccaed222b1e4c18378f63ae9a14d6b10ed7e5d0dac382057f6786cbf0f120ed5
data/audits/distribution_by_split.csv,227,355905d216c11cdb4de1061bf609ba39f1dc08ffe211a90327618788839a2810
data/audits/duplicate_groups.csv,7874,f052d04587c1871640b3514e4e1113aaba896ede0935cff54632ed653924b872
data/audits/exact_duplicate_audit.csv,51,c99f6dc3bbea97c1ff1efdf03114aaa0b219de637990445a779dd92075014f99
data/audits/file_manifest_sha256.csv,5989569,103aae95b873712716aa0b3deb6e60f92c072a65b85f1418075394092b0df4b2
data/audits/independent_verification.json,3883,25d1cb4991d83db6c30e91a346a6307b5874b87a8e378f88848af4b87cd9bea8
data/audits/merge_split_selfcheck.json,2810,d8e13f5c051beb9d5b43a62d3907cd95489377de576f4dc50dc05332e5d166df
data/audits/near_duplicate_pairs.csv,8421,340da998876e844930f36a6ae305c85edb6abded0eafea60a9d86cf791c62dd4
data/audits/test_exclusions.csv,1461,687fa758aeac21ada5e5da7f9b4bf492a6e875d954c50bb4977098e1a6ad48ca
data/README.md,607,6cf1410e7440fb9e3d74688419c8cc44fec4f3fa6d47e50d6bb23708e34b41a7
data/SHA256SUMS_core.csv,575,d463673ea52092b74995352d6d4e91e2b64dddbc1b4bfbc7942bd430d10c4f28
data/splits/LOCKED_TEST_MANIFEST.sha256,154,29ce032937a1bce7b8d234b888506d9f3704723ada2f6fcda5c24f263f08a81b
