experiment_id,condition,metric,metric_label,n_runs,mean,standard_deviation,seed_20260725,seed_20260726,seed_20260727
A_image_only,Image only,detection_f1,Detection F1,3,0.8607824608867362,0.004487791279050464,0.8574667962423065,0.8589913735899137,0.8658892128279884
A_image_only,Image only,detection_mean_iou,Mean IoU,3,0.8696207669959332,0.005981992581544804,0.873360645942162,0.8627214921446278,0.8727801629010096
A_image_only,Image only,seed_balanced_accuracy,Seed balanced accuracy,3,0.9650715020136902,0.001857052430008963,0.9630411347820518,0.9654893160568672,0.9666840552021517
A_image_only,Image only,seed_auroc,Seed AUROC,3,0.9938332959768887,0.0009068573720222969,0.9947867747513127,0.9929816579857405,0.993731455193613
B_attr_only,Attributes only,detection_f1,Detection F1,3,0.8520522458966839,0.010329761362505735,0.8636950904392765,0.8439864756077926,0.8484751716429826
B_attr_only,Attributes only,detection_mean_iou,Mean IoU,3,0.8776959655309252,0.0016128558787404674,0.8790667594237032,0.8781023548105117,0.8759187823585608
B_attr_only,Attributes only,seed_balanced_accuracy,Seed balanced accuracy,3,0.9519829601246638,0.003283150158133961,0.9489931104043035,0.9514593028220126,0.9554964671476753
B_attr_only,Attributes only,seed_auroc,Seed AUROC,3,0.9900867558952037,0.0006082931134758137,0.989388101438759,0.9903733776629816,0.9904987885838705
C_naive_concat,Naive concat,detection_f1,Detection F1,3,0.8613361092645024,0.005971830814838327,0.8643053533883228,0.8544616397760948,0.8652413346290897
C_naive_concat,Naive concat,detection_mean_iou,Mean IoU,3,0.876484597308585,0.002889819902897662,0.8745954411472389,0.8798112702277814,0.8750470805507348
C_naive_concat,Naive concat,seed_balanced_accuracy,Seed balanced accuracy,3,0.9662662411589747,0.005830381903021479,0.9707272232421125,0.9596690485847243,0.9684024516500875
C_naive_concat,Naive concat,seed_auroc,Seed AUROC,3,0.995396262932445,0.0014120622726426174,0.9961142626905176,0.9937694787174997,0.9963050473893178
D_gated_fusion,Gated fusion,detection_f1,Detection F1,3,0.8501958558684158,0.008331422873464592,0.8539651837524178,0.8559764859568909,0.8406458978959387
D_gated_fusion,Gated fusion,detection_mean_iou,Mean IoU,3,0.872681247859842,0.00654039564257077,0.8799828548798609,0.8673596133125142,0.8707012753871508
D_gated_fusion,Gated fusion,seed_balanced_accuracy,Seed balanced accuracy,3,0.9651617800879477,0.00480555697205183,0.9602574125859198,0.9698620213038467,0.9653659063740767
D_gated_fusion,Gated fusion,seed_auroc,Seed AUROC,3,0.9946956072378997,0.0013020121879813436,0.9942017461469493,0.9937127769713526,0.9961722985953974
