attribute,train_median,external_B_median,train_population_std,standardized_median_shift,absolute_standardized_shift,train_iqr,external_B_iqr,train_missing_rate,external_B_missing_rate
DZZ,0.5048990826721942,0.7617213173814985,0.3130327763050647,0.8204324088382979,0.8204324088382979,0.46338441049415,0.33823958970803925,0.0,0.0
ENT,3.6892646529096735,2.869051181926132,1.0852051371969789,-0.7558142169342329,0.7558142169342329,1.3248487296021354,1.5511612744841892,0.0,0.0
SKEW,1.6240584270507756,1.0634825613262513,1.1319574681636075,-0.4952269687605449,0.4952269687605449,1.4160975706842305,1.229335100048511,0.0,0.0
SNR,2.7801827030035353,2.34191179499855,0.8872138496156579,-0.4939856475356473,0.4939856475356473,1.0990328337553903,0.9249222279101661,0.0,0.0
ZZ,-1.3935001596735082,-0.9935065999162818,0.8164711805575667,0.4899053013531617,0.4899053013531617,1.1672297336474815,0.8367730032127194,0.0,0.0
TPAS,0.38746860778066444,0.288545514546911,0.257610274969325,-0.38400290223490785,0.38400290223490785,0.35307836060481745,0.2812775965432327,0.0,0.0
GS,1.511389148347736,1.2330292144544714,0.7619340024100376,-0.3653333924103627,0.3653333924103627,1.1055361632115732,0.8809713528834158,0.0,0.0
H2B,0.14234442401137376,0.20204192029605164,0.16802426971621404,0.3552909135418619,0.3552909135418619,0.13039496651943305,0.16553316194326395,0.0,0.0
PCC,2.0862244721977294,1.7094589835674112,1.076352069763272,-0.3500392661605438,0.3500392661605438,1.5331851337443065,1.0098779221527265,0.0,0.0
CV,1.441560263077933,1.2394104476125745,0.7203933162366076,-0.2806103428629867,0.2806103428629867,0.9410557127597783,0.6912479182854053,0.0,0.0
DENT,3.638037054791831,3.3096837769023564,1.1836458693426763,-0.2774083755911061,0.2774083755911061,1.38731561106062,1.488328318050809,0.0,0.0
DM,0.4463450331890136,0.5523709830667372,0.4070218246891922,0.2604920509082935,0.2604920509082935,0.38298133721548533,0.3835335535774696,0.0,0.0
JAG,0.6666666666666666,0.6933760683760684,0.34655735667813725,0.07707065279300332,0.07707065279300332,0.5391025641025642,0.46753246753246763,0.0,0.0
