row_type,seed,comparison,gap_det_f1,gap_mean_iou,gap_seed_ba,gap_seed_auroc,gap_seed_auprc
raw,20260725,Seen - External A,0.040806015519523786,-0.010890673176643162,0.008853475263135069,-0.014395750592452128,0.016936998314705298
raw,20260725,Seen - External B,0.054747022472842244,0.04264693039681522,0.06706414024098106,0.03528018745510941,0.05235118313460396
raw,20260725,Seen - External C,-0.03035823840479257,-0.0067184522696766,-0.023995803459897047,-0.010318153399093033,0.0028712818996841083
raw,20260725,Seen - External Macro,0.021731599862524487,0.00834593498349856,0.01730727068140636,0.0035220944878547877,0.024053154449664382
raw,20260726,Seen - External A,0.0872109062485632,-0.008936648737675634,0.0049140747165724585,-0.00549997251114509,0.015596973639402933
raw,20260726,Seen - External B,0.08238071304083483,0.03375172631949663,0.0552646708245319,0.033624723666623946,0.03236925667705237
raw,20260726,Seen - External C,0.002911399201278475,-0.001762410268589143,-0.03688631761422623,-0.0035477580445540946,0.003087075220695734
raw,20260726,Seen - External Macro,0.05750100616355891,0.007684222437743915,0.007764142642292748,0.00819233103697492,0.01701776851238368
raw,20260727,Seen - External A,-0.014228411014513553,-0.01722436346772216,0.0388366044143964,-0.012251604972263852,0.023720037994452214
raw,20260727,Seen - External B,0.030852263834242777,0.015377196099738866,0.056999630028333526,0.04064001702663189,0.05793849797083095
raw,20260727,Seen - External C,-0.07053788494966773,-0.016065248971699475,-0.023170094846156397,-0.013941229871387906,0.0018469294520988555
raw,20260727,Seen - External Macro,-0.01797134404331291,-0.005970805446560923,0.024222046532191177,0.004815727394326674,0.027835155139127266
mean_sd,mean ± sample SD,Seen - External A,0.0379 ± 0.0508,-0.0124 ± 0.0043,0.0175 ± 0.0186,-0.0107 ± 0.0046,0.0188 ± 0.0044
mean_sd,mean ± sample SD,Seen - External B,0.0560 ± 0.0258,0.0306 ± 0.0139,0.0598 ± 0.0064,0.0365 ± 0.0037,0.0476 ± 0.0134
mean_sd,mean ± sample SD,Seen - External C,-0.0327 ± 0.0368,-0.0082 ± 0.0073,-0.0280 ± 0.0077,-0.0093 ± 0.0053,0.0026 ± 0.0007
mean_sd,mean ± sample SD,Seen - External Macro,0.0204 ± 0.0378,0.0034 ± 0.0081,0.0164 ± 0.0083,0.0055 ± 0.0024,0.0230 ± 0.0055
