Feature_ID,source_file,status,json_path,old_RT,new_RT,old_rt_in_box,box_apex_RT,old_RTmin,box_RTmin,new_RTmin,old_RTmax,box_RTmax,new_RTmax,left_expand_scans,right_expand_scans,rollback_to_valley,rollback_valley_RT,bound_mode,low_threshold,oversized_shrink,json_box_synced
060-0145-006_018__F1,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F1.json,7.522266666667,7.522266666667,True,7.522266666667,7.155417,7.155416666667,7.238783333333,8.339383,8.522816666667,8.105933333333,0.0,28.0,False,8.989733333333,core_shrink,258933.01733333338,True,True
060-0145-006_018__F2,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F2.json,6.254916666667,6.254916666667,True,6.254916666667,6.104833,6.104833333333,6.104833333333,6.57175,6.57175,6.57175,0.0,0.0,True,6.57175,box_extend,280087.5466666667,False,True
060-0145-006_018__F3,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F3.json,6.421683333332999,6.421683333332999,True,6.421683333333001,6.2716,6.2716,6.254916666667,7.072033,7.138733333333,6.905266666667,0.0,28.0,False,7.60565,core_shrink,274789.69066666666,True,True
060-0145-006_018__F4,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F4.json,7.422216666666999,7.422216666666999,True,7.422216666667,7.255467,7.255466666667,7.255466666667,8.1226,8.356066666667,7.889133333332999,0.0,28.0,False,8.822983333332997,core_shrink,243424.43733333334,True,True
060-0145-006_018__F5,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F5.json,6.50505,6.50505,True,6.50505,6.171533,6.321616666667,6.321616666667,7.0887,7.072033333333,7.072033333333,9.0,28.0,False,7.53895,core_shrink,224346.12,True,True
060-0145-006_018__F6,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F6.json,6.4967166666665,6.4967166666665,True,6.50505,6.23825,6.321616666667,6.23825,7.072033,7.172083333333,7.639,5.0,28.0,False,7.639,box_extend,294863.91733333335,False,True
060-0145-006_018__F7,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F7.json,7.2054333333330005,7.2054333333330005,True,7.205433333333,6.98865,7.022,7.022,7.939167,7.622333333333,7.622333333333,2.0,28.0,False,8.08925,core_shrink,178231.65533333336,True,True
060-0145-006_018__F8,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F8.json,1.468983333333,1.468983333333,True,1.468983333333,1.335583,1.3355833333330003,1.3355833333330003,1.76915,1.76915,1.76915,18.0,28.0,False,2.236066666667,core_shrink,199899.42,True,True
060-0145-006_018__F9,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F9.json,6.254916666667,6.254916666667,True,6.254916666667,6.104833,6.104833333333,6.104833333333,6.57175,6.57175,6.57175,0.0,0.0,True,6.57175,box_extend,178121.52066666668,False,True
060-0145-006_018__F10,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F10.json,6.671816666667,6.671816666667,True,6.688483333333,6.50505,6.50505,6.50505,7.588983,7.67235,7.222116666667,0.0,13.0,True,7.889133333332999,core_shrink,175994.7446666667,True,True
060-0145-006_018__F11,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F11.json,11.474533333333,11.474533333333,True,11.4245,11.107667,11.107666666667,11.107666666667,11.691317,11.991483333333,12.041500000000001,0.0,3.0,False,11.991483333333,box_extend,182914.55800000002,False,True
060-0145-006_018__F12,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F12.json,7.522266666667,7.522266666667,True,7.522266666667,7.105383,7.105383333333,7.238783333333,8.322717,8.522816666667,8.072566666667,0.0,28.0,False,8.989733333333,core_shrink,150324.77933333334,True,True
060-0145-006_018__F13,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F13.json,6.421683333332999,6.421683333332999,True,6.421683333333001,6.2716,6.2716,6.2716,7.0887,7.0887,7.0887,0.0,0.0,True,7.0887,box_extend,167497.03333333333,False,True
060-0145-006_018__F14,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F14.json,11.4245,11.4245,True,11.4245,11.2911,11.2911,11.2911,11.624617,11.624616666667,11.624616666667,0.0,28.0,False,12.091533333333,core_shrink,180468.39933333333,True,True
060-0145-006_018__F15,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F15.json,11.090983333333002,11.090983333333002,True,11.090983333333002,10.990933,10.990933333333,10.990933333333,11.541233,11.541233333333,11.541233333333,0.0,0.0,True,11.541233333333,box_extend,191607.60866666664,False,True
060-0145-006_018__F16,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F16.json,7.422216666666999,7.422216666666999,True,7.422216666667,7.255467,7.255466666667,7.255466666667,8.1226,8.339383333333,7.872466666667,0.0,28.0,False,8.756283333333,core_shrink,141881.81133333335,True,True
060-0145-006_018__F17,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F17.json,11.541233333333,11.541233333333,True,11.541233333333,11.407833,11.407833333333,11.407833333333,11.74135,11.74135,11.74135,0.0,28.0,False,12.208266666667003,core_shrink,145703.233,True,True
060-0145-006_018__F18,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F18.json,7.222116666667,7.222116666667,True,7.238783333333,7.05535,7.05535,7.05535,7.622333,7.622333333333,7.622333333333,8.0,28.0,False,8.08925,core_shrink,111131.94866666668,True,True
060-0145-006_018__F19,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F19.json,6.054816666667,6.054816666667,True,6.071483333333,5.9214,5.9214,5.9214,6.2716,6.2716,6.2716,2.0,17.0,True,6.555083333333,core_shrink,119525.03533333332,True,True
060-0145-006_018__F20,060-0145-006_018.mzML,updated,D:\LipidBench\PeakTruthLab\datasets\eic_images_flat\060-0145-006_018\060-0145-006_018__F20.json,11.2244,11.2244,True,11.2244,11.107667,11.107666666667,11.107666666667,11.4245,11.4245,11.4245,0.0,28.0,False,11.80805,core_shrink,136840.15125,True,True
