scope,detection_precision,detection_recall,detection_f1,detection_mean_iou,detection_ap50,detection_ap75,detection_map_50_95,left_boundary_mae_px,right_boundary_mae_px,peak_count_mae,seed_balanced_accuracy,seed_auroc,seed_average_precision,seed_f1,best_detection_epoch,best_seed_epoch,train_seconds,peak_gpu_memory_bytes,detection_precision_sample_sd,detection_recall_sample_sd,detection_f1_sample_sd,detection_mean_iou_sample_sd,detection_ap50_sample_sd,detection_ap75_sample_sd,detection_map_50_95_sample_sd,left_boundary_mae_px_sample_sd,right_boundary_mae_px_sample_sd,peak_count_mae_sample_sd,seed_balanced_accuracy_sample_sd,seed_auroc_sample_sd,seed_average_precision_sample_sd,seed_f1_sample_sd
Main Test,0.9140022050716649,0.8726315789473684,0.8928379106085084,0.8825085807335535,0.8822925892591291,0.7448072290631901,0.6552910711471729,2.836103269073155,4.694383154156988,0.15438950554994954,0.9605461284531187,0.9885428645889349,0.9854717664306969,0.9660107334525939,27,16,10938.217109599995,6425288704,,,,,,,,,,,,,,
SELF_FRAG1_20260527,0.7292965271593945,0.8873239436619719,0.8005865102639296,0.8400487177101247,0.8463746663995545,0.6054267073716414,0.5420474702147994,5.298566578363179,6.697811764820737,0.356,0.8903003432610203,0.9481987914942598,0.9109777650423564,0.8783068783068783,15,24,12904.953647500006,6425631232,,,,,,,,,,,,,,
ST001873,0.8651282051282051,0.8042908224076282,0.8336009882643607,0.8568628130223388,0.8135862815503547,0.6282717107577181,0.5592570596130966,2.70191347973546,4.319458077910672,0.36785329018338725,0.9203872164701659,0.9726428205690886,0.9871469714471065,0.9525925925925925,22,20,11600.735226500015,6425518592,,,,,,,,,,,,,,
ST002135,0.5742808798646362,0.8875523012552301,0.6973494966098213,0.8750748814873367,0.7995178745329024,0.6218864465402665,0.5788777378091271,4.655145826098072,8.20229658802327,0.7395833333333334,0.9276702930275516,0.9851063319379645,0.9943992247840734,0.9781626506024096,17,17,12452.907330500006,6426952192,,,,,,,,,,,,,,
ST002162,0.9256530475552579,0.9256530475552579,0.9256530475552579,0.8616467107480928,0.9368441494813721,0.7612305870388418,0.6601648762163614,3.1221076645140364,6.970287444450058,0.0709474629546475,0.9884911006198727,0.9956003521671134,0.9903573430409046,0.9867321867321868,17,29,10512.365609199944,6426001920,,,,,,,,,,,,,,
ST002903,0.8696629213483146,0.7724550898203593,0.8181818181818182,0.8544316290268911,0.7948281496388404,0.6171836332571297,0.5378263393000363,2.761604811794074,3.6915519576356086,0.11275415896487985,0.9201182840816,0.9817139203580489,0.9564502079876352,0.9006211180124224,24,13,12817.05188899998,6426669056,,,,,,,,,,,,,,
ST003127,0.8596491228070176,0.7329059829059829,0.7912341407151096,0.8878947093257403,0.7823182779438294,0.6776914166316033,0.5907613707440067,3.2424984256310645,5.338022215373314,0.1343692870201097,0.9332121103034121,0.9891471980298872,0.9731336074634496,0.9184692179700499,24,19,13115.988663199983,6427282432,,,,,,,,,,,,,,
ST003220,0.879284649776453,0.8727810650887574,0.8760207869339273,0.8661375720958925,0.8992503296927488,0.735404893760034,0.6442899761733767,3.722441657114837,5.308554434911006,0.21424468696151636,0.9818122036007226,0.998611118690685,0.9991050252388375,0.9859564164648911,13,4,12485.6152763,6427033600,,,,,,,,,,,,,,
ST003514,0.893717132576806,0.8580919479138985,0.8755422993492408,0.8863633981279708,0.886791985509725,0.7747462073685587,0.6756464754499882,2.7837246410172583,3.865981441343041,0.18665219750406944,0.9628227408143,0.9946580574732853,0.9944767682167727,0.9638066312325994,19,14,11217.840740899948,6426659840,,,,,,,,,,,,,,
ST003792,0.9339171974522293,0.8826185101580135,0.9075435203094777,0.8579430305236238,0.8839818984842347,0.6671646570602258,0.6136423732491744,2.28805717930058,6.067795495751162,0.1028735632183908,0.9867534654748025,0.9990735792632901,0.999357591027028,0.9884364002011061,28,27,12346.237388200068,6426505216,,,,,,,,,,,,,,
ST003941,0.8803777544596013,0.6760676873489122,0.764813126709207,0.8438230227940984,0.7101063415919054,0.5171718327153338,0.4625363280878231,2.3072087193558413,3.334217203388055,0.24596273291925466,0.8910455486542443,0.9586516080912505,0.9637408237083659,0.9146090534979424,26,30,12431.291646700149,6427333632,,,,,,,,,,,,,,
ST004085,0.8822937625754527,0.9116424116424117,0.8967280163599182,0.8621608021593692,0.9200176710496141,0.7018213999196897,0.6332760604906482,3.8792896944957285,6.356638726785762,0.13398692810457516,0.9695598629256801,0.9906577961019493,0.9887795619022479,0.9713400464756003,29,27,11031.045973699918,6425427456,,,,,,,,,,,,,,
LODO Macro average,0.8448419273366699,0.8373984372507658,0.8352048864774608,0.8629442988201345,0.8430561478068256,0.6643635902200948,0.5907569152134944,3.3420507888563757,5.468419577308426,0.24229342192401493,0.9429248335666702,0.9830965067433475,0.9779931718053434,0.9490030174626072,,,,,0.10416633354634569,0.08018357274619387,0.06919191575747673,0.015345736740184072,0.06923188456321025,0.07659948953110195,0.06322123349636821,0.963535321031059,1.5502206182678753,0.1920529964459073,0.036647961450896806,0.01676425869052719,0.026415783357965246,0.039216456546485604
